hit_id,smiles,vina_PD-L1,vina_TGF-bR1,dual_score
HIT_0137,CN1CCN(C)C1N1CCOc2ccc(N3Cc4ccc(F)cc4C3)cc21,-7.821,-5.001,-12.822
HIT_0138,N#Cc1c(O)cccc1N1CCCNC[C@H](N2CCc3ccccc32)C1,-7.776,-5.046,-12.822
HIT_0139,C[C@H]1CN(c2cc(Cl)cc3c2CCNC3=O)Cc2cc(Cl)ccc2O1,-8.116,-4.704,-12.82
HIT_0140,Cc1cc(F)cnc1N1CC[C@@]2(C(=O)N3CC[C@H](O)c4ccc(F)cc43)CCC[C@H]12,-8.272,-4.547,-12.818999999999999
HIT_0141,C[C@@H](C(=O)n1c(=O)[nH]c2c(F)cccc2c1=O)c1cccc(F)c1,-7.292,-5.527,-12.818999999999999
HIT_0142,c1cc2c(c(Nc3ccc4c(c3)[C@@H](N[C@H]3CCCCNC3)CC4)c1)CC2,-7.721,-5.097,-12.818000000000001
HIT_0143,Cc1ccc2c(c1)[C@H](N1CCC([C@H](O)C(=O)N3CCc4cc(Cl)ncc4C3)CC1)CO2,-7.417,-5.4,-12.817
HIT_0144,Cc1ncc(NC(=O)[C@]2(F)CC[C@H](N)CC2)cc1N1CCc2ccc(F)cc2C1,-6.496,-6.319,-12.815000000000001
HIT_0145,C[C@H]1N(c2ccc3c(c2)[C@@H](Oc2ccc4c(c2F)OCC4=O)CC3)CCC1(F)F,-7.985,-4.829,-12.814
HIT_0146,COC1(C(=O)N2CCc3c(F)cc(F)cc32)CN([C@@H]2CCNCc3ccccc32)C1,-7.208,-5.606,-12.814
HIT_0147,C[C@@H]1CN(c2ccc3c(c2)N(c2ccc4c(c2)OCC4)CC3)[C@@H](C)CN1,-7.7,-5.113,-12.813
HIT_0148,Cc1cc(-c2cc(C)c3c(c2)CCN([C@H]2C[C@H](C)NC[C@@H]2C)C3)cnc1F,-7.9,-4.91,-12.81
HIT_0149,O=C([C@@H]1CNCCCO1)N1CCOc2ccc(N3CCc4c(F)cccc4C3)cc21,-8.37,-4.437,-12.806999999999999
HIT_0150,N#Cc1cc(N2C[C@@H](c3nc4cccc(C#N)c4o3)CC(F)(F)C2)ccc1O,-7.598,-5.204,-12.802
HIT_0151,CC[C@@H]1[C@H](O)CCN1c1ccc(F)c2c1CN(c1ccc(C#N)c(F)c1)CC2,-8.322,-4.48,-12.802
HIT_0152,O=C1CCOc2ccc(N3CC[C@@](O)(c4nc5cccc6c5n4CCC6)C3)cc21,-7.377,-5.424,-12.801
HIT_0153,c1cc2c(cc1N[C@H]1CCCC3(CCCC3)C1)CC[C@@]21COCCN1,-7.236,-5.564,-12.8
HIT_0154,N#Cc1ccc(N2CCOc3ccc(N4CCOCOCC4)cc32)o1,-7.942,-4.854,-12.796
HIT_0155,Cc1cnc(O)c(N[C@]2(C(=O)N3CCCc4ccc(O)cc4C3)C[C@@H](F)C2)c1,-7.347,-5.446,-12.793
HIT_0156,Cc1cccc2c1N(C(=O)[C@@H]1[C@H](C)CCN1c1nccc3c1CCNC3)CCC2,-7.741,-5.049,-12.79
HIT_0157,O[C@H]1CCc2ccc(N3CCc4ccc(F)cc4C3)cc21,-7.975,-4.809,-12.783999999999999
HIT_0158,C[C@@H]1CCN(c2c(O)ccc3c2CCN([C@H]2COCc4c(F)cccc42)C3)CCC1=O,-6.827,-5.954,-12.780999999999999
HIT_0159,N#Cc1cccc2c1[C@@H](N1CCNc3ccc(O)cc3C1)C2,-7.623,-5.154,-12.777000000000001
HIT_0160,O=C1NCCc2ccc(N3CCC[C@]34CCc3cc(F)ccc34)nc21,-7.371,-5.4,-12.771
HIT_0161,COc1ccc(Oc2cccc3c2CCNC3=O)c(N2CCCC[C@](C)(O)C2)c1,-7.775,-4.995,-12.77
HIT_0162,C[C@@H]1CN(c2cnccc2-c2nc3c(F)ccc(F)c3o2)CCCC1=O,-7.488,-5.281,-12.769
HIT_0163,N#Cc1c[nH]nc1Oc1cccc2c1CN(c1ccnc3cn[nH]c13)CC2,-7.862,-4.906,-12.768
HIT_0164,C[C@@H]1CC[C@H](N2CCCc3c(F)ccc(F)c32)CN1Cc1c(O)cccc1F,-7.472,-5.296,-12.768
HIT_0165,Cc1ccoc1C(=O)N1CCc2cccc(N3CCN[C@H](C)CC3)c2C1,-7.954,-4.813,-12.767
HIT_0166,O=C1Cc2c(N3CCc4nc(C(=O)N5CCC[C@]56CCCOC6)ccc4C3)ccc(F)c2N1,-7.108,-5.651,-12.759
HIT_0167,CO[C@H]1CCN(c2cccc3c2CN(c2ccc(F)c4c2CNCC4)C3)[C@H]1C,-7.958,-4.795,-12.753
HIT_0168,O=C1CC(=O)CN([C@@H]2CCCc3[nH]c(N4CCc5c(F)cccc5C4)cc32)C1,-7.708,-5.044,-12.751999999999999
HIT_0169,N#Cc1cccc(F)c1N1CCC(C(=O)N2C[C@@H](F)c3ccccc32)CC1,-6.811,-5.94,-12.751000000000001
HIT_0170,Cc1cnc(N2CCNc3ccc(C(=O)N4CCC[C@@](C)(F)CC4)cc32)cn1,-7.625,-5.125,-12.75
HIT_0171,O[C@H]1CCOc2cc(N3CCCc4ccc(F)cc4C3)ccc21,-8.007,-4.742,-12.748999999999999
HIT_0172,Cc1cccc2c1C(=O)CCN2c1nccc2c1CCCN2,-7.576,-5.171,-12.747
HIT_0173,O=C1Cc2ccc(N3CCOc4ccc(CO)cc4C3)cc2N1,-7.277,-5.47,-12.747
HIT_0174,Cc1ccn(N)c1C(=O)N1CCC[C@@]12CCN(c1cccc3c1CCNC3=O)C2,-7.491,-5.255,-12.745999999999999
HIT_0175,Cc1ccc(N2CCC(c3ccc4c(c3)N(c3cccc(C#N)c3C)CC4)CC2)c(F)n1,-7.541,-5.202,-12.743
HIT_0176,N#Cc1cc(N2CC[C@@]23CCCc2ccccc23)c(F)cc1O,-7.151,-5.591,-12.742
HIT_0177,O=C(c1ccc2c(c1)NCCN2)N1Cc2cccc3c2[C@H](CCC3)C1,-7.16,-5.582,-12.742
HIT_0178,Brc1cncc([C@@H]2CCCN2c2ccc3c(c2)[C@]2(CC3)COCCN2)c1,-7.393,-5.345,-12.738
HIT_0179,O=C([C@@H]1CC2(CC2)CN1c1ccc2c(c1)NCC2)N1C[C@H](F)c2ccccc21,-7.617,-5.118,-12.735
HIT_0180,N#Cc1ccccc1N1CCc2nc(N3CCCCOCC3)ccc2C1,-7.307,-5.426,-12.733
HIT_0181,O=C([C@@H]1[C@@H]2CC[C@H]1CN(c1cccc3c1NCC3)C2)N1Cc2cc(F)cnc2C1,-6.915,-5.817,-12.732
HIT_0182,C[C@@H]1Cc2ccccc2CN1c1cc(F)cc2c1CCN(C(=O)C1(O)CNC1)C2,-7.65,-5.081,-12.731000000000002
HIT_0183,CC(=O)[C@H]1CCN(c2cccc3c2CCN(c2ccc4c(c2)[C@]2(CCN2)CCO4)C3)C1,-8.064,-4.667,-12.731
HIT_0184,CC1(C(=O)N2CCc3ncccc3C2)CCN(c2ccc(F)c3c2NCC3)CC1,-8.102,-4.628,-12.73
HIT_0185,C[C@@H]1CN(c2cccc3c2CN(c2cc(C#N)ccc2F)CC3)CC[C@H]1O,-8.14,-4.589,-12.729000000000001
HIT_0186,N[C@@H]1COCc2ccc(N3CCCc4ccc(F)cc43)cc21,-8.059,-4.665,-12.724
